"actCode","actLabel","subjectID","feature_name","feature_value"
1,"WALKING",2,"tBodyAcc-mean-X",0.273113115788079
1,"WALKING",4,"tBodyAcc-mean-X",0.274183111498423
1,"WALKING",9,"tBodyAcc-mean-X",0.270313841621528
1,"WALKING",10,"tBodyAcc-mean-X",0.27684847392517
1,"WALKING",12,"tBodyAcc-mean-X",0.27360872421875
1,"WALKING",13,"tBodyAcc-mean-X",0.27456972840796
2,"WALKING_UPSTAIRS",1,"tBodyAcc-mean-X",0.265130137749216
2,"WALKING_UPSTAIRS",13,"tBodyAcc-mean-X",0.278011397674603
2,"WALKING_UPSTAIRS",18,"tBodyAcc-mean-X",0.276324152142857
2,"WALKING_UPSTAIRS",20,"tBodyAcc-mean-X",0.268425757926554
2,"WALKING_UPSTAIRS",24,"tBodyAcc-mean-X",0.276767046391076
3,"WALKING_DOWNSTAIRS",1,"tBodyAcc-mean-X",0.272154196428571
3,"WALKING_DOWNSTAIRS",3,"tBodyAcc-mean-X",0.273428719636364
3,"WALKING_DOWNSTAIRS",5,"tBodyAcc-mean-X",0.279177960301325
3,"WALKING_DOWNSTAIRS",6,"tBodyAcc-mean-X",0.272376614181538
3,"WALKING_DOWNSTAIRS",7,"tBodyAcc-mean-X",0.270211697814935
3,"WALKING_DOWNSTAIRS",8,"tBodyAcc-mean-X",0.279888894852941
4,"SITTING",8,"tBodyAcc-mean-X",0.265556589446927
4,"SITTING",11,"tBodyAcc-mean-X",0.27658531139557
4,"SITTING",14,"tBodyAcc-mean-X",0.270184596009288
4,"SITTING",15,"tBodyAcc-mean-X",0.27821340725
4,"SITTING",16,"tBodyAcc-mean-X",0.277887440374317
4,"SITTING",17,"tBodyAcc-mean-X",0.273637590822641
5,"STANDING",17,"tBodyAcc-mean-X",0.275037981747573
5,"STANDING",19,"tBodyAcc-mean-X",0.269723487105556
5,"STANDING",21,"tBodyAcc-mean-X",0.277466525522059
5,"STANDING",22,"tBodyAcc-mean-X",0.274767690046106
5,"STANDING",23,"tBodyAcc-mean-X",0.273493254730108
5,"STANDING",25,"tBodyAcc-mean-X",0.274069916107602
6,"LAYING",25,"tBodyAcc-mean-X",0.281587895671642
6,"LAYING",26,"tBodyAcc-mean-X",0.2730365808625
6,"LAYING",27,"tBodyAcc-mean-X",0.277264567074468
6,"LAYING",28,"tBodyAcc-mean-X",0.277532554764398
6,"LAYING",29,"tBodyAcc-mean-X",0.279111521944767
6,"LAYING",30,"tBodyAcc-mean-X",0.276305836721932
1,"WALKING",2,"tBodyAcc-mean-Y",-0.0191323183174834
1,"WALKING",4,"tBodyAcc-mean-Y",-0.0148081545344921
1,"WALKING",9,"tBodyAcc-mean-Y",-0.0209466555412396
1,"WALKING",10,"tBodyAcc-mean-Y",-0.017835790552415
1,"WALKING",12,"tBodyAcc-mean-Y",-0.018337204411489
1,"WALKING",13,"tBodyAcc-mean-Y",-0.0183337873806468
2,"WALKING_UPSTAIRS",1,"tBodyAcc-mean-Y",-0.0185590134726959
2,"WALKING_UPSTAIRS",13,"tBodyAcc-mean-Y",-0.0165604410159524
2,"WALKING_UPSTAIRS",18,"tBodyAcc-mean-Y",-0.0172831546595266
2,"WALKING_UPSTAIRS",20,"tBodyAcc-mean-Y",-0.0175912993773164
2,"WALKING_UPSTAIRS",24,"tBodyAcc-mean-Y",-0.0176822460103885
3,"WALKING_DOWNSTAIRS",1,"tBodyAcc-mean-Y",-0.0153264487792857
3,"WALKING_DOWNSTAIRS",3,"tBodyAcc-mean-Y",-0.017856067384956
3,"WALKING_DOWNSTAIRS",5,"tBodyAcc-mean-Y",-0.0154833455336192
3,"WALKING_DOWNSTAIRS",6,"tBodyAcc-mean-Y",-0.0175697042641846
3,"WALKING_DOWNSTAIRS",7,"tBodyAcc-mean-Y",-0.0187904887668182
3,"WALKING_DOWNSTAIRS",8,"tBodyAcc-mean-Y",-0.014403708822451
4,"SITTING",8,"tBodyAcc-mean-Y",-0.0203467625075978
4,"SITTING",11,"tBodyAcc-mean-Y",-0.0191272531933228
4,"SITTING",14,"tBodyAcc-mean-Y",-0.0162548178510526
4,"SITTING",15,"tBodyAcc-mean-Y",-0.016464484771311
4,"SITTING",16,"tBodyAcc-mean-Y",-0.0158567888309016
4,"SITTING",17,"tBodyAcc-mean-Y",-0.0170634745358491
5,"STANDING",17,"tBodyAcc-mean-Y",-0.0187717447257282
5,"STANDING",19,"tBodyAcc-mean-Y",-0.0182031515710306
5,"STANDING",21,"tBodyAcc-mean-Y",-0.0176664578561765
